percentile,n_targeted,uplift,qini,model
0.01,900,0.00924065889915629,8.31659300924066,T-Learner
0.02,1800,0.019615484913700465,35.307872844660835,T-Learner
0.03,2700,0.017094017094017096,46.15384615384616,T-Learner
0.04,3600,0.011730975291484098,42.23151104934276,T-Learner
0.05,4500,0.013643111059025742,61.39399976561584,T-Learner
0.06,5400,0.011853544006599402,64.00913763563678,T-Learner
0.07,6300,0.011368875781428485,71.62391742299945,T-Learner
0.08,7200,0.010111483851288516,72.80268372927732,T-Learner
0.09,8100,0.008655242476772365,70.10746406185616,T-Learner
0.1,9000,0.00813953488372093,73.25581395348837,T-Learner
0.11,9900,0.006842140739373819,67.73719331980081,T-Learner
0.12,10800,0.006752703758684347,72.92920059379095,T-Learner
0.13,11700,0.0064581508761636045,75.56036525111418,T-Learner
0.14,12600,0.006161907347320432,77.64003257623745,T-Learner
0.15,13500,0.0060620247071635665,81.83733354670815,T-Learner
0.16,14400,0.005809973485643459,83.6636181932658,T-Learner
0.17,15300,0.00570605864723512,87.30269730269733,T-Learner
0.18,16200,0.005530165069638753,89.5886741281478,T-Learner
0.19,17100,0.005360096285527674,91.65764648252323,T-Learner
0.2,18000,0.005131193755617786,92.36148760112015,T-Learner
0.21,18900,0.004871839792711597,92.07777208224918,T-Learner
0.22,19800,0.004713356973995273,93.3244680851064,T-Learner
0.23,20700,0.004517986514138364,93.52232084266413,T-Learner
0.24,21600,0.004289750575856833,92.65861243850759,T-Learner
0.25,22500,0.00411958653515622,92.69069704101496,T-Learner
0.26,23400,0.003950227266237659,92.43531802996122,T-Learner
0.27,24300,0.003937849668837408,95.68974695274902,T-Learner
0.28,25200,0.003832808491908304,96.58677399608926,T-Learner
0.29,26100,0.0037092816444729915,96.81225092074507,T-Learner
0.3,27000,0.003559025574647005,96.09369051546913,T-Learner
0.31,27900,0.003443878002382594,96.08419626647438,T-Learner
0.32,28800,0.003326355731146825,95.79904505702856,T-Learner
0.33,29700,0.0030082394903256753,89.34471286267255,T-Learner
0.34,30600,0.00291350444561953,89.15323603595762,T-Learner
0.35,31500,0.0028617493333110587,90.14510399929834,T-Learner
0.36,32400,0.00284456861679315,92.16402318409806,T-Learner
0.37,33300,0.002780665513409542,92.59616159653775,T-Learner
0.38,34200,0.0027032752610621734,92.45201392832632,T-Learner
0.39,35100,0.002684301116100246,94.21896917511863,T-Learner
0.4,36000,0.0026431445192690696,95.15320269368651,T-Learner
0.41,36900,0.0025790951437083855,95.16861080283942,T-Learner
0.42,37800,0.002517140042495012,95.14789360631146,T-Learner
0.43,38700,0.0024554099996617167,95.02436698690843,T-Learner
0.44,39600,0.0024272555507485537,96.11931980964272,T-Learner
0.45,40500,0.002209243635142545,89.47436722327308,T-Learner
0.46,41400,0.0021705997125473107,89.86282809945867,T-Learner
0.47,42300,0.002140804853683436,90.55604531080935,T-Learner
0.48,43200,0.0020918390715978373,90.36744789302658,T-Learner
0.49,44100,0.0020471465334918745,90.27916212699166,T-Learner
0.5,45000,0.0019995954295183474,89.98179432832563,T-Learner
0.51,45900,0.0019502445856459613,89.51622648114962,T-Learner
0.52,46800,0.0019144346145160448,89.5955399593509,T-Learner
0.53,47700,0.0018859299183132789,89.95885710354341,T-Learner
0.54,48600,0.0018442887875860605,89.63243507668254,T-Learner
0.55,49500,0.0018127864396130164,89.73292876084432,T-Learner
0.56,50400,0.0017812584511499143,89.77542593795567,T-Learner
0.57,51300,0.0017549662571835012,90.02976899351361,T-Learner
0.58,52200,0.0017238895356074288,89.98703375870778,T-Learner
0.59,53100,0.00168611951667278,89.53294633532461,T-Learner
0.6,54000,0.0016606956262128674,89.67756381549484,T-Learner
0.61,54900,0.001637832695333811,89.91701497382623,T-Learner
0.62,55800,0.0016129282958861945,90.00139891044965,T-Learner
0.63,56700,0.001588766392816484,90.08305447269464,T-Learner
0.64,57600,0.0015657260456276244,90.18582022815117,T-Learner
0.65,58500,0.0015405466795563143,90.12198075404439,T-Learner
0.66,59400,0.001514612463359862,89.9679803235758,T-Learner
0.67,60300,0.0014944157027550532,90.1132668761297,T-Learner
0.68,61200,0.001467441043531836,89.80739186414836,T-Learner
0.69,62100,0.0014484856868819357,89.9509611553682,T-Learner
0.7,63000,0.0014286269719830705,90.00349923493344,T-Learner
0.71,63900,0.0014099735594881183,90.09731045129075,T-Learner
0.72,64800,0.0014063626195399796,91.13229774619067,T-Learner
0.73,65700,0.0013900821295409066,91.32839591083756,T-Learner
0.74,66600,0.0013924351705884392,92.73618236119005,T-Learner
0.75,67500,0.001372710085625228,92.65793077970288,T-Learner
