bin,mean_predicted,actual_uplift,n_samples,Model
1,-0.0028755786199637316,0.0016952038426611862,9180,T-Learner
2,-1.1186303686506536e-05,-0.0006561679790026247,10341,T-Learner
3,9.94557945951135e-07,0.00045351473922902497,7825,T-Learner
4,1.3032954764943735e-05,0.0,8987,T-Learner
5,2.396848174756958e-05,0.0,8669,T-Learner
6,0.00010551341960311853,-0.0007173601147776184,9064,T-Learner
7,0.00022751884366529595,-0.00044991480094402377,8934,T-Learner
8,0.0004982326085299494,0.0003901170351105332,9007,T-Learner
9,0.001185521092912792,0.0013600516491903405,8993,T-Learner
10,0.01863335548274007,0.00813953488372093,9000,T-Learner
1,-0.0005347979239266639,0.0033431914620033433,9140,S-Learner
2,-1.090025096605806e-06,0.0,10541,S-Learner
3,-7.367645973934927e-07,0.00011425959780621572,10295,S-Learner
4,3.0367332649054545e-06,0.0,6545,S-Learner
5,1.2106551209333349e-05,0.00013785497656465398,8482,S-Learner
6,5.035584653263408e-05,-0.0006934812760055479,9167,S-Learner
7,8.63402515366137e-05,-0.00048281622262508016,8830,S-Learner
8,0.0002719685937513545,-0.0009834464944193384,9000,S-Learner
9,0.0008858460355614222,0.0005034205009378794,9000,S-Learner
10,0.009398075774971655,0.008221540672263647,9000,S-Learner
1,-0.0014264950546748702,0.001451620178344149,31495,X-Learner
2,0.00020114728473010063,0.0,8276,X-Learner
3,0.00020143515352691083,0.0,5778,X-Learner
4,0.00020542589863347757,0.0,8725,X-Learner
5,0.00021143544266575477,-0.000801684346910681,9348,X-Learner
6,0.00031978299710486895,-0.0006745385088023937,8544,X-Learner
7,0.0010770105404313312,-0.00034183079436829185,8838,X-Learner
8,0.014956797187205821,0.0068108063766540924,8996,X-Learner
