Decile,N,N_Treated,N_Control,Avg Predicted Uplift (%),Actual Uplift (%),Lift vs Random,Model
1,9000,7740,1260,1.863335548274007,0.813953488372093,7.134261073555858,T-Learner
2,9000,7639,1361,0.11851391250448227,0.13597611314151373,1.1918237402718266,T-Learner
3,9000,7685,1315,0.049808001868784306,0.039037085230969416,0.34215807360859024,T-Learner
4,9000,7593,1407,0.022694092352235733,-0.04473315535546852,-0.3920838395669534,T-Learner
5,9000,7614,1386,0.010518504614322714,-0.07215007215007214,-0.6323917257532506,T-Learner
6,9000,7662,1338,0.0023680720215553362,0.0,0.0,T-Learner
7,9000,7646,1354,0.0012666101076522155,0.0,0.0,T-Learner
8,9000,7623,1377,-3.697875290527009e-05,0.03935458480913026,0.3449409413199549,T-Learner
9,9000,7671,1329,-0.0012379257127071873,-0.07524454477050413,-0.6595146214401846,T-Learner
10,9000,7652,1348,-0.2932587075682813,0.17372933280180433,1.5227287972210848,T-Learner
1,9000,7726,1274,0.9398075774971655,0.8221540672263647,7.206138731599521,S-Learner
2,9000,7632,1368,0.08858460355614223,0.050342050093787935,0.44124551768359266,S-Learner
3,9000,7671,1329,0.027196859375135447,-0.09834464944193384,-0.8619858681474764,S-Learner
4,9000,7635,1365,0.008592133860978807,-0.04706491936354412,-0.4125216329214646,S-Learner
5,9000,7589,1411,0.005008818902772166,-0.07087172218284904,-0.6211870530786715,S-Learner
6,9000,7702,1298,0.0011606969751179956,0.012983640612827837,0.11380095194676777,S-Learner
7,9000,7628,1372,0.0001762434134434443,0.013109596224436287,0.11490494649895194,S-Learner
8,9000,7658,1342,-7.499998072388633e-05,0.0,0.0,S-Learner
9,9000,7626,1374,-0.00011735387204478483,0.0,0.0,S-Learner
10,9000,7658,1342,-0.054307409499031165,0.3395142334813267,2.975825049522609,S-Learner
1,9000,7743,1257,1.4951215928158224,0.6798657467812177,5.958988814220706,X-Learner
2,9000,7669,1331,0.10639422889465763,-0.032907372750402925,-0.28843145437675066,X-Learner
3,9000,7616,1384,0.03115921040453811,-0.05259690581434885,-0.46100921379583115,X-Learner
4,9000,7656,1344,0.02104718411493133,-0.09656291983878189,-0.8463690984757944,X-Learner
5,9000,7586,1414,0.020518111852746032,0.0,0.0,X-Learner
6,9000,7691,1309,0.020131347448819528,0.0,0.0,X-Learner
7,9000,7680,1320,0.020113838439022546,0.0,0.0,X-Learner
8,9000,7650,1350,0.020112946574579998,0.0,0.0,X-Learner
9,9000,7631,1369,0.020112946574579998,0.02620888481195125,0.22971954708269043,X-Learner
10,9000,7603,1397,-0.5494652119881868,0.488165815569731,4.278748632707729,X-Learner
